City,Number of Covid + Cases,Number of Covid - Cases,Date
New York,500,100,22/05/2022
Florida,1100,240,22/05/2022
Washington,1740,490,22/05/2022
New York,2353.333333,666.6666667,21/05/2022
Florida,2973.333333,861.6666667,21/05/2022
Washington,3593.333333,1056.666667,21/05/2022
New York,4213.333333,1251.666667,20/05/2022
Florida,4833.333333,1446.666667,20/05/2022
Washington,5453.333333,1641.666667,20/05/2022
New York,6073.333333,1836.666667,19/05/2022
Florida,6693.333333,2031.666667,19/05/2022
Washington,7313.333333,2226.666667,19/05/2022
